NetworkName	datasets	LLS
MCS_SCS	23290025	18.0
MCS_SCS	1723945	18.0
MCS_SCS	28244113	18.0
MCS_SCS	8281149	18.0
MCS_SCS	23565137	18.0
MCS_SCS	23110775	18.0
MCS_SCS	20831904	18.0
MCS_SCS	24136930	18.0
MCS_SCS	8043870	18.0
MCS_SCS	11750125	18.0
MCS_SCS	21203343	18.0
MCS_SCS	15994445	18.0
MCS_SCS	23108490	18.0
MCS_SCS	8701404	18.0
MCS_SCS	14670767	18.0
MCS_SCS	20575041	18.0
MCS_SCS	10930322	18.0
MCS_SCS	15358787	18.0
MCS_SCS	20590677	18.0
MCS_SCS	27112432	18.0
MCS_SCS	26748598	18.0
MCS_SCS	11392526	18.0
MCS_SCS	9920835	18.0
MCS_SCS	21060012	18.0
MCS_SCS	25798860	11.98791025242275
MCS_SCS	26280335	18.0
MCS_SCS	16670375	18.0
MCS_SCS	10787449	18.0
MCS_SCS	23085274	18.0
MCS_SCS	23829171	18.0
MCS_SCS	2000245	18.0
MCS_SCS	23878101	18.0
MCS_SCS	18300943	18.0
MCS_SCS	15743887	18.0
MCS_SCS	15598687	18.0
MCS_SCS	25817014	18.0
MCS_SCS	25857910	18.0
MCS_SCS	25817015	18.0
MCS_SCS	19589774	18.0
MCS_SCS	15982448	10.88929796375464
MCS_SCS	27509854	18.0
MCS_SCS	15584030	18.0
MCS_SCS	20936362	18.0
MCS_SCS	25049278	18.0
MCS_SCS	29270492	10.60161589130286
MCS_SCS	26195193	18.0
MCS_SCS	15019541	18.0
MCS_SCS	29486293	18.0
MCS_SCS	19179616	18.0
MCS_SCS	10487710	18.0
MCS_SCS	19264732	18.0
MCS_SCS	27113748	18.0
MCS_SCS	10762163	18.0
MCS_SCS	23399524	18.0
MCS_SCS	23844784	18.0
MCS_SCS	16731833	18.0
MCS_SCS	8774330	18.0
MCS_SCS	21964919	18.0
MCS_SCS	20181585	18.0
MCS_SCS	9833068	18.0
MCS_SCS	1963473	18.0
MCS_SCS	29847808	18.0
MCS_SCS	10787434	18.0
MCS_SCS	9763559	18.0
MCS_SCS	19623537	18.0
MCS_SCS	23830146	18.0
MCS_SCS	9140840	18.0
MCS_SCS	17307006	18.0
MCS_SCS	9691185	11.98791025242275
MCS_SCS	10535983	18.0
MCS_SCS	3471198	18.0
MCS_SCS	27773430	18.0
MCS_SCS	17576779	18.0
MCS_SCS	15286659	11.98791025242275
MCS_SCS	26026149	18.0
MCS_SCS	14765537	18.0
MCS_SCS	22795689	18.0
MCS_SCS	12381896	18.0
MCS_SCS	10234507	18.0
MCS_SCS	24784582	18.0
MCS_SCS	27821552	18.0
MCS_SCS	10234503	18.0
MCS_SCS	18252757	18.0
MCS_SCS	10234504	18.0
MCS_SCS	25870942	18.0
MCS_SCS	10234502	18.0
MCS_SCS	18972565	18.0
MCS_SCS	29980436	12.393375360530914
MCS_SCS	24049131	18.0
MCS_SCS	21964978	18.0
MCS_SCS	21254961	18.0
MCS_SCS	22528146	18.0
MCS_SCS	24231718	18.0
MCS_SCS	1651563	18.0
MCS_SCS	21936020	18.0
MCS_SCS	20227276	18.0
MCS_SCS	25843314	11.98791025242275
MCS_SCS	21976963	18.0
MCS_SCS	20947076	18.0
MCS_SCS	21976959	18.0
MCS_SCS	26761581	18.0
MCS_SCS	1652892	18.0
MCS_SCS	27378946	18.0
MCS_SCS	17192785	9.79068567508653
MCS_SCS	8617516	18.0
MCS_SCS	10377081	18.0
MCS_SCS	22878431	18.0
MCS_SCS	27677334	18.0
MCS_SCS	10607950	18.0
MCS_SCS	9067753	18.0
MCS_SCS	24903488	18.0
